FusionGID,FusionGene,Hgene,HGID,Tgene,TGID
hg55915tg5189,LANCL2-PEX1,LANCL2,55915,PEX1,5189
hg55915tg81552,LANCL2-VOPP1,LANCL2,55915,VOPP1,81552
hg51056tg2588,LAP3-GALNS,LAP3,51056,GALNS,2588
hg51056tg5265,LAP3-SERPINA1,LAP3,51056,SERPINA1,5265
hg9741tg51068,LAPTM4A-NMD3,LAPTM4A,9741,NMD3,51068
hg55353tg4147,LAPTM4B-MATN2,LAPTM4B,55353,MATN2,4147
hg55353tg92140,LAPTM4B-MTDH,LAPTM4B,55353,MTDH,92140
hg9215tg529,LARGE-ATP6V1E1,LARGE,9215,ATP6V1E1,529
hg9215tg23492,LARGE-CBX7,LARGE,9215,CBX7,23492
hg9215tg23151,LARGE-GRAMD4,LARGE,9215,GRAMD4,23151
hg9215tg359948,LARGE-IRF2BP2,LARGE,9215,IRF2BP2,359948
hg9215tg80207,LARGE-OPA3,LARGE,9215,OPA3,80207
hg9215tg8500,LARGE-PPFIA1,LARGE,9215,PPFIA1,8500
hg9215tg22938,LARGE-SNW1,LARGE,9215,SNW1,22938
hg55132tg10950,LARP1B-BTG3,LARP1B,55132,BTG3,10950
hg55132tg83447,LARP1B-SLC25A31,LARP1B,55132,SLC25A31,83447
hg55132tg79725,LARP1B-THAP9,LARP1B,55132,THAP9,79725
hg113251tg80115,LARP4-BAIAP2L2,LARP4,113251,BAIAP2L2,80115
hg113251tg57609,LARP4-DIP2B,LARP4,113251,DIP2B,57609
hg113251tg255411,LARP4-LINC00935,LARP4,113251,LINC00935,255411
hg113251tg4928,LARP4-NUP98,LARP4,113251,NUP98,4928
hg113251tg5797,LARP4-PTPRM,LARP4,113251,PTPRM,5797
hg113251tg6263,LARP4-RYR3,LARP4,113251,RYR3,6263
hg113251tg84926,LARP4-SPRYD3,LARP4,113251,SPRYD3,84926
hg113251tg91419,LARP4-XRCC6BP1,LARP4,113251,XRCC6BP1,91419
hg23185tg105,LARP4B-ADARB2,LARP4B,23185,ADARB2,105
hg23185tg253725,LARP4B-FAM21C,LARP4B,23185,FAM21C,253725
hg23185tg5429,LARP4B-POLH,LARP4B,23185,POLH,5429
hg23185tg9491,LARP4B-PSMF1,LARP4B,23185,PSMF1,9491
hg23185tg22884,LARP4B-WDR37,LARP4B,23185,WDR37,22884
hg51520tg3320,LARS-HSP90AA1,LARS,51520,HSP90AA1,3320
hg51520tg57589,LARS-KIAA1432,LARS,51520,KIAA1432,57589
hg23395tg55129,LARS2-ANO10,LARS2,23395,ANO10,55129
hg3927tg5691,LASP1-PSMB3,LASP1,3927,PSMB3,5691
hg27040tg55139,LAT-ANKZF1,LAT,27040,ANKZF1,55139
hg7462tg23624,LAT2-CBLC,LAT2,7462,CBLC,23624
hg9113tg348995,LATS1-NUP43,LATS1,9113,NUP43,348995
hg26524tg51084,LATS2-CRYL1,LATS2,26524,CRYL1,51084
hg26524tg7295,LATS2-TXN,LATS2,26524,TXN,7295
hg81606tg2324,LBH-FLT4,LBH,81606,FLT4,2324
hg3929tg2147,LBP-F2,LBP,3929,F2,2147
hg167691tg9324,LCA5-HMGN3,LCA5,167691,HMGN3,9324
hg3932tg3932,LCK-LCK,LCK,3932,LCK,3932
hg253558tg114793,LCLAT1-FMNL2,LCLAT1,253558,FMNL2,114793
hg51451tg3538,LCMT1-IGLC2,LCMT1,51451,IGLC2,3538
hg3933tg4069,LCN1-LYZ,LCN1,3933,LYZ,4069
hg389812tg55561,LCN15-CDC42BPG,LCN15,389812,CDC42BPG,55561
hg3934tg51111,LCN2-SUV420H1,LCN2,3934,SUV420H1,51111
hg84458tg57606,LCOR-SLAIN2,LCOR,84458,SLAIN2,57606
hg84458tg56889,LCOR-TM9SF3,LCOR,84458,TM9SF3,56889
hg254251tg54901,LCORL-CDKAL1,LCORL,254251,CDKAL1,54901
hg9079tg5311,LDB2-PKD2,LDB2,9079,PKD2,5311
hg3945tg22948,LDHB-CCT5,LDHB,3945,CCT5,22948
hg3945tg1496,LDHB-CTNNA2,LDHB,3945,CTNNA2,1496
hg3945tg5139,LDHB-PDE3A,LDHB,3945,PDE3A,5139
