pair_name,disease1_name,disease1_id,disease2_name,disease2_id,RR_score
immunologic_deficiency_syndromes & leukemia_lymphocytic_chronic_b_cell,immunologic_deficiency_syndromes,141,leukemia_lymphocytic_chronic_b_cell,156,32.629624
immunologic_deficiency_syndromes & leukemia_b_cell,immunologic_deficiency_syndromes,141,leukemia_b_cell,155,31.725689
muscular_diseases & polyneuropathies,muscular_diseases,191,polyneuropathies,242,31.717198
ectodermal_dysplasia & macular_degeneration,ectodermal_dysplasia,95,macular_degeneration,177,31.452247
anemia_aplastic & leukemia,anemia_aplastic,10,leukemia,154,30.388657
muscular_diseases & vasculitis,muscular_diseases,191,vasculitis,296,30.329691
demyelinating_diseases & muscular_dystrophies,demyelinating_diseases,83,muscular_dystrophies,193,30.081172
multiple_sclerosis & muscular_dystrophies,multiple_sclerosis,190,muscular_dystrophies,193,30.081172
arterial_occlusive_diseases & death_sudden,arterial_occlusive_diseases,15,death_sudden,79,29.09969
hypotrichosis & neoplasms_germ_cell_and_embryonal,hypotrichosis,139,neoplasms_germ_cell_and_embryonal,205,29.056765
hypotrichosis & ovarian_neoplasms,hypotrichosis,139,ovarian_neoplasms,229,29.056765
leprosy & mycobacterium_infections,leprosy,153,mycobacterium_infections,196,28.481415
immunologic_deficiency_syndromes & precursor_cell_lymphoblastic_leukemia_lymphoma,immunologic_deficiency_syndromes,141,precursor_cell_lymphoblastic_leukemia_lymphoma,243,28.209077
sleep_disorders & vascular_diseases,sleep_disorders,269,vascular_diseases,295,27.866737
blood_platelet_disorders & leukemia_myeloid_acute,blood_platelet_disorders,31,leukemia_myeloid_acute,159,27.544542
leukemia_myeloid_acute & precursor_cell_lymphoblastic_leukemia_lymphoma,leukemia_myeloid_acute,159,precursor_cell_lymphoblastic_leukemia_lymphoma,243,26.754822
leukemia_lymphocytic_chronic_b_cell & leukemia_myeloid_acute,leukemia_lymphocytic_chronic_b_cell,156,leukemia_myeloid_acute,159,26.754822
behcet_syndrome & vasculitis,behcet_syndrome,26,vasculitis,296,26.449527
